Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  1.10      0.82     0.01  2000000     0.00     0.00  double std::uniform_real_distribution<double>::operator()<std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul> >(std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&, std::uniform_real_distribution<double>::param_type const&)
  1.10      0.83     0.01  1000001     0.00     0.00  bool std::operator==<std::_Deque_iterator<common::Point, common::Point&, common::Point*> >(std::reverse_iterator<std::_Deque_iterator<common::Point, common::Point&, common::Point*> > const&, std::reverse_iterator<std::_Deque_iterator<common::Point, common::Point&, common::Point*> > const&)
  1.10      0.84     0.01   999997     0.00     0.00  void std::__unguarded_linear_insert<std::_Deque_iterator<common::Point, common::Point&, common::Point*>, __gnu_cxx::__ops::_Val_less_iter>(std::_Deque_iterator<common::Point, common::Point&, common::Point*>, __gnu_cxx::__ops::_Val_less_iter)
  1.10      0.85     0.01        2     5.00     5.00  common::Point const* std::reverse_iterator<std::_Deque_iterator<common::Point, common::Point const&, common::Point const*> >::_S_to_pointer<std::_Deque_iterator<common::Point, common::Point const&, common::Point const*> >(std::_Deque_iterator<common::Point, common::Point const&, common::Point const*>)
  1.10      0.86     0.01        1    10.00   335.37  void std::__sort<std::_Deque_iterator<common::Point, common::Point&, common::Point*>, __gnu_cxx::__ops::_Iter_less_iter>(std::_Deque_iterator<common::Point, common::Point&, common::Point*>, std::_Deque_iterator<common::Point, common::Point&, common::Point*>, __gnu_cxx::__ops::_Iter_less_iter)
  1.10      0.88     0.01                             main
  0.55      0.88     0.01  8432910     0.00     0.00  std::operator-(std::_Deque_iterator<common::Point, common::Point&, common::Point*> const&, std::_Deque_iterator<common::Point, common::Point&, common::Point*> const&)
  0.55      0.89     0.01  3999967     0.00     0.00  std::operator!=(std::_Deque_iterator<common::Point, common::Point&, common::Point*> const&, std::_Deque_iterator<common::Point, common::Point&, common::Point*> const&)
  0.55      0.89     0.01  1000000     0.00     0.00  common::Point::Point(double, double)
  0.55      0.90     0.01        2     2.50     7.50  std::reverse_iterator<std::_Deque_iterator<common::Point, common::Point const&, common::Point const*> >::operator->() const
  0.55      0.90     0.01        1     5.00     5.00  __gnu_cxx::__ops::__iter_less_iter()
  0.55      0.91     0.01        1     5.00    52.20  void std::__unguarded_insertion_sort<std::_Deque_iterator<common::Point, common::Point&, common::Point*>, __gnu_cxx::__ops::_Iter_less_iter>(std::_Deque_iterator<common::Point, common::Point&, common::Point*>, std::_Deque_iterator<common::Point, common::Point&, common::Point*>, __gnu_cxx::__ops::_Iter_less_iter)
  0.55      0.91     0.01        1     5.00   345.37  void std::sort<std::_Deque_iterator<common::Point, common::Point&, common::Point*> >(std::_Deque_iterator<common::Point, common::Point&, common::Point*>, std::_Deque_iterator<common::Point, common::Point&, common::Point*>)
  0.00      0.91     0.00 16639236     0.00     0.00  std::remove_reference<common::Point&>::type&& std::move<common::Point&>(common::Point&)
  0.00      0.91     0.00 10999911     0.00     0.00  std::deque<common::Point, std::allocator<common::Point> >::end()
  0.00      0.91     0.00  6062500     0.00     0.00  double&& std::forward<double>(std::remove_reference<double>::type&)
  0.00      0.91     0.00  5090045     0.00     0.00  common::Point const& std::forward<common::Point const&>(std::remove_reference<common::Point const&>::type&)
  0.00      0.91     0.00  4000000     0.00     0.00  std::uniform_real_distribution<double>::param_type::a() const
  0.00      0.91     0.00  4000000     0.00     0.00  std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>::min()
  0.00      0.91     0.00  3981077     0.00     0.00  void std::iter_swap<std::_Deque_iterator<common::Point, common::Point&, common::Point*>, std::_Deque_iterator<common::Point, common::Point&, common::Point*> >(std::_Deque_iterator<common::Point, common::Point&, common::Point*>, std::_Deque_iterator<common::Point, common::Point&, common::Point*>)
  0.00      0.91     0.00  3981077     0.00     0.00  std::operator<(std::_Deque_iterator<common::Point, common::Point&, common::Point*> const&, std::_Deque_iterator<common::Point, common::Point&, common::Point*> const&)
  0.00      0.91     0.00  3696003     0.00     0.00  bool __gnu_cxx::__ops::_Val_less_iter::operator()<common::Point, std::_Deque_iterator<common::Point, common::Point&, common::Point*> >(common::Point&, std::_Deque_iterator<common::Point, common::Point&, common::Point*>) const
  0.00      0.91     0.00  2311684     0.00     0.00  std::operator+(std::_Deque_iterator<common::Point, common::Point&, common::Point*> const&, long)
  0.00      0.91     0.00  2000017     0.00     0.00  unsigned long const& std::max<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      0.91     0.00  2000002     0.00     0.00  std::reverse_iterator<std::_Deque_iterator<common::Point, common::Point&, common::Point*> >::base() const
  0.00      0.91     0.00  2000000     0.00     0.00  std::uniform_real_distribution<double>::param_type::b() const
  0.00      0.91     0.00  2000000     0.00     0.00  double std::uniform_real_distribution<double>::operator()<std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul> >(std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&)
  0.00      0.91     0.00  2000000     0.00     0.00  std::deque<common::Point, std::allocator<common::Point> >::insert(std::_Deque_iterator<common::Point, common::Point const&, common::Point const*>, common::Point const&)
  0.00      0.91     0.00  2000000     0.00     0.00  std::__detail::_Adaptor<std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>, double>::_Adaptor(std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>&)
  0.00      0.91     0.00  2000000     0.00     0.00  std::__detail::_Adaptor<std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>, double>::operator()()
  0.00      0.91     0.00  1999999     0.00     0.00  std::deque<common::Point, std::allocator<common::Point> >::push_back(common::Point const&)
  0.00      0.91     0.00  1999970     0.00     0.00  std::_Deque_base<common::Point, std::allocator<common::Point> >::_M_get_Tp_allocator()
  0.00      0.91     0.00  1999964     0.00     0.00  std::_Deque_iterator<common::Point, common::Point const&, common::Point const*>::_M_const_cast() const
  0.00      0.91     0.00  1999964     0.00     0.00  std::_Deque_iterator<common::Point, common::Point&, common::Point*>::_Deque_iterator(common::Point*, common::Point**)
  0.00      0.91     0.00  1999964     0.00     0.00  std::deque<common::Point, std::allocator<common::Point> >::erase(std::_Deque_iterator<common::Point, common::Point const&, common::Point const*>)
  0.00      0.91     0.00  1999964     0.00     0.00  std::deque<common::Point, std::allocator<common::Point> >::pop_back()
  0.00      0.91     0.00  1000070     0.00     0.00  std::_Deque_iterator<common::Point, common::Point const&, common::Point const*>::operator++()
  0.00      0.91     0.00  1000037     0.00     0.00  std::operator==(std::_Deque_iterator<common::Point, common::Point const&, common::Point const*> const&, std::_Deque_iterator<common::Point, common::Point const&, common::Point const*> const&)
  0.00      0.91     0.00  1000037     0.00     0.00  std::operator!=(std::_Deque_iterator<common::Point, common::Point const&, common::Point const*> const&, std::_Deque_iterator<common::Point, common::Point const&, common::Point const*> const&)
  0.00      0.91     0.00  1000002     0.00     0.00  std::reverse_iterator<std::_Deque_iterator<common::Point, common::Point&, common::Point*> >::reverse_iterator(std::_Deque_iterator<common::Point, common::Point&, common::Point*>)
  0.00      0.91     0.00  1000001     0.00     0.00  std::deque<common::Point, std::allocator<common::Point> >::rend()
  0.00      0.91     0.00  1000001     0.00     0.00  bool std::operator!=<std::_Deque_iterator<common::Point, common::Point&, common::Point*> >(std::reverse_iterator<std::_Deque_iterator<common::Point, common::Point&, common::Point*> > const&, std::reverse_iterator<std::_Deque_iterator<common::Point, common::Point&, common::Point*> > const&)
  0.00      0.91     0.00  1000000     0.00     0.00  std::_Deque_iterator<common::Point, common::Point const&, common::Point const*>::operator*() const
  0.00      0.91     0.00  1000000     0.00     0.00  std::reverse_iterator<std::_Deque_iterator<common::Point, common::Point&, common::Point*> >::operator*() const
  0.00      0.91     0.00  1000000     0.00     0.00  std::reverse_iterator<std::_Deque_iterator<common::Point, common::Point&, common::Point*> >::operator++()
  0.00      0.91     0.00  1000000     0.00     0.00  common::Point& std::deque<common::Point, std::allocator<common::Point> >::emplace_back<double, double>(double&&, double&&)
  0.00      0.91     0.00  1000000     0.00     0.00  std::deque<common::Point, std::allocator<common::Point> >::back()
  0.00      0.91     0.00  1000000     0.00     0.00  void std::_Construct<common::Point, common::Point const&>(common::Point*, common::Point const&)
  0.00      0.91     0.00  1000000     0.00     0.00  common::Point* std::__addressof<common::Point>(common::Point&)
  0.00      0.91     0.00   999997     0.00     0.00  __gnu_cxx::__ops::__val_comp_iter(__gnu_cxx::__ops::_Iter_less_iter)
  0.00      0.91     0.00   152549     0.00     0.00  std::_Deque_base<common::Point, std::allocator<common::Point> >::_M_allocate_node()
  0.00      0.91     0.00   152549     0.00     0.00  std::_Deque_base<common::Point, std::allocator<common::Point> >::_M_deallocate_node(common::Point*)
  0.00      0.91     0.00   152549     0.00     0.00  std::__new_allocator<common::Point>::deallocate(common::Point*, unsigned long)
  0.00      0.91     0.00   152549     0.00     0.00  std::__new_allocator<common::Point>::allocate(unsigned long, void const*)
  0.00      0.91     0.00   121330     0.00     0.00  std::_Deque_base<common::Point, std::allocator<common::Point> >::_M_get_Tp_allocator() const
  0.00      0.91     0.00   121295     0.00     0.00  std::deque<common::Point, std::allocator<common::Point> >::max_size() const
  0.00      0.91     0.00   121295     0.00     0.00  std::deque<common::Point, std::allocator<common::Point> >::_S_max_size(std::allocator<common::Point> const&)
  0.00      0.91     0.00   121295     0.00     0.00  unsigned long const& std::min<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      0.91     0.00   121294     0.00     0.00  std::deque<common::Point, std::allocator<common::Point> >::_M_reserve_map_at_back(unsigned long)
  0.00      0.91     0.00   103907     0.00     0.00  std::_Deque_iterator<common::Point, common::Point&, common::Point*>::operator-=(long)
  0.00      0.91     0.00   103905     0.00     0.00  void std::__move_median_to_first<std::_Deque_iterator<common::Point, common::Point&, common::Point*>, __gnu_cxx::__ops::_Iter_less_iter>(std::_Deque_iterator<common::Point, common::Point&, common::Point*>, std::_Deque_iterator<common::Point, common::Point&, common::Point*>, std::_Deque_iterator<common::Point, common::Point&, common::Point*>, std::_Deque_iterator<common::Point, common::Point&, common::Point*>, __gnu_cxx::__ops::_Iter_less_iter)
  0.00      0.91     0.00   103905     0.00     0.00  std::_Deque_iterator<common::Point, common::Point&, common::Point*> std::__unguarded_partition_pivot<std::_Deque_iterator<common::Point, common::Point&, common::Point*>, __gnu_cxx::__ops::_Iter_less_iter>(std::_Deque_iterator<common::Point, common::Point&, common::Point*>, std::_Deque_iterator<common::Point, common::Point&, common::Point*>, __gnu_cxx::__ops::_Iter_less_iter)
  0.00      0.91     0.00   103905     0.00     0.00  std::operator-(std::_Deque_iterator<common::Point, common::Point&, common::Point*> const&, long)
  0.00      0.91     0.00    90044     0.00     0.00  void std::deque<common::Point, std::allocator<common::Point> >::_M_push_back_aux<common::Point const&>(common::Point const&)
  0.00      0.91     0.00    90043     0.00     0.00  std::deque<common::Point, std::allocator<common::Point> >::_M_pop_back_aux()
  0.00      0.91     0.00    31257     0.00     0.00  std::_Deque_iterator<common::Point, common::Point const&, common::Point const*>::_S_buffer_size()
  0.00      0.91     0.00    31254     0.00     0.00  std::_Deque_iterator<common::Point, common::Point const&, common::Point const*>::_M_set_node(common::Point**)
  0.00      0.91     0.00    31250     0.00     0.00  void std::deque<common::Point, std::allocator<common::Point> >::_M_push_back_aux<double, double>(double&&, double&&)
  0.00      0.91     0.00      624     0.00     0.00  std::__detail::_Mod<unsigned long, 4294967296ul, 1ul, 0ul, true, true>::__calc(unsigned long)
  0.00      0.91     0.00      624     0.00     0.00  unsigned long std::__detail::__mod<unsigned long, 4294967296ul, 1ul, 0ul>(unsigned long)
  0.00      0.91     0.00      623     0.00     0.00  std::__detail::_Mod<unsigned long, 624ul, 1ul, 0ul, true, true>::__calc(unsigned long)
  0.00      0.91     0.00      623     0.00     0.00  unsigned long std::__detail::__mod<unsigned long, 624ul, 1ul, 0ul>(unsigned long)
  0.00      0.91     0.00      144     0.00     0.00  std::_Deque_iterator<common::Point, common::Point const&, common::Point const*>::operator->() const
  0.00      0.91     0.00       39     0.00     0.00  common::Point** std::__niter_base<common::Point**>(common::Point**)
  0.00      0.91     0.00       34     0.00     0.00  std::_Deque_base<common::Point, std::allocator<common::Point> >::_M_get_map_allocator() const
  0.00      0.91     0.00       34     0.00     0.00  std::__new_allocator<common::Point*>::~__new_allocator()
  0.00      0.91     0.00       26     0.00     0.00  common::Point** std::__miter_base<common::Point**>(common::Point**)
  0.00      0.91     0.00       17     0.00     0.00  std::_Deque_base<common::Point, std::allocator<common::Point> >::_M_allocate_map(unsigned long)
  0.00      0.91     0.00       17     0.00     0.00  std::_Deque_base<common::Point, std::allocator<common::Point> >::_M_deallocate_map(common::Point**, unsigned long)
  0.00      0.91     0.00       17     0.00     0.00  std::__new_allocator<common::Point*>::deallocate(common::Point**, unsigned long)
  0.00      0.91     0.00       17     0.00     0.00  std::__new_allocator<common::Point*>::allocate(unsigned long, void const*)
  0.00      0.91     0.00       14     0.00     0.00  std::_Deque_iterator<common::Point, common::Point const&, common::Point const*>::_Deque_iterator(std::_Deque_iterator<common::Point, common::Point const&, common::Point const*> const&)
  0.00      0.91     0.00       13     0.00     0.00  common::Point** std::__copy_move<false, true, std::random_access_iterator_tag>::__copy_m<common::Point*, common::Point*>(common::Point**, common::Point**, common::Point**)
  0.00      0.91     0.00       13     0.00     0.00  std::deque<common::Point, std::allocator<common::Point> >::_M_reallocate_map(unsigned long, bool)
  0.00      0.91     0.00       13     0.00     0.00  common::Point** std::__niter_wrap<common::Point**>(common::Point** const&, common::Point**)
  0.00      0.91     0.00       13     0.00     0.00  common::Point** std::__copy_move_a<false, common::Point**, common::Point**>(common::Point**, common::Point**, common::Point**)
  0.00      0.91     0.00       13     0.00     0.00  common::Point** std::__copy_move_a1<false, common::Point**, common::Point**>(common::Point**, common::Point**, common::Point**)
  0.00      0.91     0.00       13     0.00     0.00  common::Point** std::__copy_move_a2<false, common::Point**, common::Point**>(common::Point**, common::Point**, common::Point**)
  0.00      0.91     0.00       13     0.00     0.00  common::Point** std::copy<common::Point**, common::Point**>(common::Point**, common::Point**, common::Point**)
  0.00      0.91     0.00       10     0.00     0.00  std::_Deque_iterator<common::Point, common::Point&, common::Point*>::_Deque_iterator()
  0.00      0.91     0.00        6     0.00     0.00  std::_Deque_iterator<common::Point, common::Point&, common::Point*> std::__niter_base<std::_Deque_iterator<common::Point, common::Point&, common::Point*> >(std::_Deque_iterator<common::Point, common::Point&, common::Point*>)
  0.00      0.91     0.00        5     0.00     0.00  std::_Deque_base<common::Point, std::allocator<common::Point> >::_Deque_impl_data::_Deque_impl_data()
  0.00      0.91     0.00        5     0.00     0.00  std::__new_allocator<common::Point>::~__new_allocator()
  0.00      0.91     0.00        4     0.00     0.00  std::deque<common::Point, std::allocator<common::Point> >::begin() const
  0.00      0.91     0.00        4     0.00     0.00  std::_Deque_base<common::Point, std::allocator<common::Point> >::_Deque_impl::~_Deque_impl()
  0.00      0.91     0.00        4     0.00     0.01  std::_Deque_base<common::Point, std::allocator<common::Point> >::_M_create_nodes(common::Point**, common::Point**)
  0.00      0.91     0.00        4     0.00     0.02  std::_Deque_base<common::Point, std::allocator<common::Point> >::_M_destroy_nodes(common::Point**, common::Point**)
  0.00      0.91     0.00        4     0.00     0.01  std::_Deque_base<common::Point, std::allocator<common::Point> >::_M_initialize_map(unsigned long)
  0.00      0.91     0.00        4     0.00     0.02  std::_Deque_base<common::Point, std::allocator<common::Point> >::~_Deque_base()
  0.00      0.91     0.00        4     0.00     0.00  std::deque<common::Point, std::allocator<common::Point> >::_M_destroy_data(std::_Deque_iterator<common::Point, common::Point&, common::Point*>, std::_Deque_iterator<common::Point, common::Point&, common::Point*>, std::allocator<common::Point> const&)
  0.00      0.91     0.00        4     0.00     0.02  std::deque<common::Point, std::allocator<common::Point> >::~deque()
  0.00      0.91     0.00        4     0.00     0.00  std::_Deque_iterator<common::Point, common::Point&, common::Point*> std::__miter_base<std::_Deque_iterator<common::Point, common::Point&, common::Point*> >(std::_Deque_iterator<common::Point, common::Point&, common::Point*>)
  0.00      0.91     0.00        3     0.00     0.00  std::remove_reference<std::_Deque_base<common::Point, std::allocator<common::Point> >::_Deque_impl_data&>::type&& std::move<std::_Deque_base<common::Point, std::allocator<common::Point> >::_Deque_impl_data&>(std::_Deque_base<common::Point, std::allocator<common::Point> >::_Deque_impl_data&)
  0.00      0.91     0.00        2     0.00     0.00  std::deque<common::Point, std::allocator<common::Point> >::rbegin() const
  0.00      0.91     0.00        2     0.00     0.00  std::_Deque_base<common::Point, std::allocator<common::Point> >::_Deque_impl::_Deque_impl()
  0.00      0.91     0.00        2     0.00     0.01  std::_Deque_base<common::Point, std::allocator<common::Point> >::_Deque_base()
  0.00      0.91     0.00        2     0.00     0.00  std::_Deque_iterator<common::Point, common::Point const&, common::Point const*>::operator--()
  0.00      0.91     0.00        2     0.00     0.00  std::reverse_iterator<std::_Deque_iterator<common::Point, common::Point const&, common::Point const*> >::reverse_iterator(std::_Deque_iterator<common::Point, common::Point const&, common::Point const*>)
  0.00      0.91     0.00        2     0.00     0.00  common::Point* std::__copy_move_backward<true, true, std::random_access_iterator_tag>::__copy_move_b<common::Point, common::Point>(common::Point*, common::Point*, common::Point*)
  0.00      0.91     0.00        2     0.00     0.01  std::deque<common::Point, std::allocator<common::Point> >::deque()
  0.00      0.91     0.00        2     0.00     0.00  std::_Deque_iterator<common::Point, common::Point&, common::Point*> std::__niter_wrap<std::_Deque_iterator<common::Point, common::Point&, common::Point*> >(std::_Deque_iterator<common::Point, common::Point&, common::Point*> const&, std::_Deque_iterator<common::Point, common::Point&, common::Point*>)
  0.00      0.91     0.00        2     0.00     0.00  std::_Deque_iterator<common::Point, common::Point&, common::Point*> std::move_backward<std::_Deque_iterator<common::Point, common::Point&, common::Point*>, std::_Deque_iterator<common::Point, common::Point&, common::Point*> >(std::_Deque_iterator<common::Point, common::Point&, common::Point*>, std::_Deque_iterator<common::Point, common::Point&, common::Point*>, std::_Deque_iterator<common::Point, common::Point&, common::Point*>)
  0.00      0.91     0.00        2     0.00     0.00  std::_Deque_iterator<common::Point, common::Point&, common::Point*> std::__copy_move_backward_a<true, std::_Deque_iterator<common::Point, common::Point&, common::Point*>, std::_Deque_iterator<common::Point, common::Point&, common::Point*> >(std::_Deque_iterator<common::Point, common::Point&, common::Point*>, std::_Deque_iterator<common::Point, common::Point&, common::Point*>, std::_Deque_iterator<common::Point, common::Point&, common::Point*>)
  0.00      0.91     0.00        2     0.00     0.00  std::_Deque_iterator<common::Point, common::Point&, common::Point*> std::__copy_move_backward_a1<true, common::Point, common::Point&, common::Point*, common::Point>(std::_Deque_iterator<common::Point, common::Point&, common::Point*>, std::_Deque_iterator<common::Point, common::Point&, common::Point*>, std::_Deque_iterator<common::Point, common::Point&, common::Point*>)
  0.00      0.91     0.00        2     0.00     0.00  __gnu_cxx::__enable_if<std::__is_random_access_iter<common::Point*, std::iterator_traits<common::Point*>::iterator_category>::__value, std::_Deque_iterator<common::Point, common::Point&, common::Point*> >::__type std::__copy_move_backward_a1<true, common::Point*, common::Point>(common::Point*, common::Point*, std::_Deque_iterator<common::Point, common::Point&, common::Point*>)
  0.00      0.91     0.00        2     0.00     0.00  common::Point* std::__copy_move_backward_a1<true, common::Point*, common::Point*>(common::Point*, common::Point*, common::Point*)
  0.00      0.91     0.00        2     0.00     0.00  common::Point* std::__copy_move_backward_a2<true, common::Point*, common::Point*>(common::Point*, common::Point*, common::Point*)
  0.00      0.91     0.00        2     0.00     0.00  std::_Deque_iterator<common::Point, common::Point&, common::Point*> std::__copy_move_backward_dit<true, common::Point, common::Point&, common::Point*, std::_Deque_iterator<common::Point, common::Point&, common::Point*> >(std::_Deque_iterator<common::Point, common::Point&, common::Point*>, std::_Deque_iterator<common::Point, common::Point&, common::Point*>, std::_Deque_iterator<common::Point, common::Point&, common::Point*>)
  0.00      0.91     0.00        2     0.00     0.00  long const& std::min<long>(long const&, long const&)
  0.00      0.91     0.00        2     0.00     0.00  std::remove_reference<std::allocator<common::Point>&>::type&& std::move<std::allocator<common::Point>&>(std::allocator<common::Point>&)
  0.00      0.91     0.00        1     0.00    29.59  double common::compute_area<std::deque<common::Point, std::allocator<common::Point> > >(std::deque<common::Point, std::allocator<common::Point> > const&)
  0.00      0.91     0.00        1     0.00     0.00  std::_Deque_base<common::Point, std::allocator<common::Point> >::_Deque_impl::_Deque_impl(std::allocator<common::Point>&&)
  0.00      0.91     0.00        1     0.00     0.00  std::_Deque_base<common::Point, std::allocator<common::Point> >::_Deque_impl::_Deque_impl(std::allocator<common::Point> const&)
  0.00      0.91     0.00        1     0.00     0.00  std::_Deque_base<common::Point, std::allocator<common::Point> >::_Deque_impl_data::_M_swap_data(std::_Deque_base<common::Point, std::allocator<common::Point> >::_Deque_impl_data&)
  0.00      0.91     0.00        1     0.00     0.00  std::_Deque_base<common::Point, std::allocator<common::Point> >::_Deque_impl_data::_Deque_impl_data(std::_Deque_base<common::Point, std::allocator<common::Point> >::_Deque_impl_data&&)
